 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In   Time Spa.5 Spa.6 Spa.7 Spa.8 Spa.9 Spa.10 Spa.11 Spa.12 M1   M2   M3   M4   M5   M6   M7   M8   M9   M10   M11  M12  M13  M14  M15  M16  M17  M18  M19  M20  Mdly TM1  TM2  TM3  TM4  TM5  TM6  TM7  TM8  TM9  TM10 TM11 TM12 TM13 TM14 TM15 TM16 TM17 TM18 TM19 TM20 Stack Rs-Check Vab  Pab  Rab  Latitude Longitude Name Channel Overload Tx-Bat Rx-Bat Temp. Date Gapfiller Synch Cole Tau Cole M Cole rms
 Dipole Dipole 0.00 1.00 2.00 3.00 0.43 0.18 -26.01 -14.50 -9.783 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -86.61 -62.03 -48.10 -40.06 -34.17 -28.68 -25.19 -22.22 -19.26 -16.74 -14.63 -12.84 -11.58 -10.81 -10.44 -9.67 -7.84 -7.35 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 1 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 1 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 3.00 4.00 -1.09 0.31 -2.37 -5.53 6.281 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -3.61 -3.80 -3.55 -3.48 -2.15 -2.02 -1.77 -2.40 -3.86 -3.29 -1.33 -1.65 -1.08 -1.14 -1.39 -0.89 -2.85 -2.47 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 2 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 4.00 5.00 -0.94 0.73 -0.24 -2.12 2.153 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -5.35 -8.31 -7.93 -1.11 0.19 -2.77 1.29 3.87 4.25 7.02 1.48 0.37 1.48 0.74 3.69 -0.19 -2.59 -0.37 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 3 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 5.00 6.00 -1.13 0.91 16.31 -26.56 1.301 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 43.40 31.17 22.90 22.60 19.87 18.04 10.40 14.37 14.38 15.29 11.03 11.02 14.05 12.81 8.24 7.64 8.24 8.22 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 4 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 6.00 7.00 -1.03 1.18 -10.23 24.89 0.677 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -26.30 -22.20 -17.01 -15.24 4.78 11.23 -0.04 -7.70 -15.36 -11.82 -24.65 -15.83 1.77 -3.42 -15.83 -16.48 -1.29 -8.82 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 5 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 7.00 8.00 -1.03 3.22 36.69 8.27 0.423 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 47.74 39.36 14.86 20.03 44.66 51.49 35.83 44.16 60.25 44.34 32.97 33.10 43.58 15.07 19.66 49.76 51.57 11.99 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 6 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 8.00 9.00 -3.24 5.72 -269.21 -8.90 0.887 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -697.17 -551.13 -455.23 -380.40 -336.49 -312.73 -272.01 -249.60 -216.92 -197.61 -193.60 -186.87 -172.12 -144.79 -115.59 -108.05 -132.68 -122.85 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 7 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 9.00 10.00 1.61 0.00 -299.99 -20.94 -0.308 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -1424.28 -1132.97 -965.40 -893.43 -810.76 -739.94 -649.98 -591.70 -515.51 -497.40 -466.70 -429.41 -429.61 -388.14 -366.48 -376.74 -347.02 -291.71 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 8 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 10.00 11.00 -0.66 3.80 370.34 26.28 0.092 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 981.02 669.91 508.80 461.57 473.15 538.43 474.07 381.94 295.37 293.98 243.98 242.13 238.43 125.93 156.48 152.78 235.19 193.06 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 9 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
 Dipole Dipole 0.00 1.00 11.00 12.00 -1.61 27.63 62.05 0.32 0.169 433.428 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 43.30 79.93 118.06 58.28 11.44 102.53 140.25 95.04 100.08 41.53 25.33 37.99 21.11 24.78 36.36 107.84 54.33 18.65 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 536 232 1.2 00.000000 00.000000 DD48 10 0 10.67 11.98 23.6 6/21/2016 10:55:31 AM 0 0 0.0 0.00 0.0
