 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In   Time Spa.5 Spa.6 Spa.7 Spa.8 Spa.9 Spa.10 Spa.11 Spa.12 M1   M2   M3   M4   M5   M6   M7   M8   M9   M10   M11  M12  M13  M14  M15  M16  M17  M18  M19  M20  Mdly TM1  TM2  TM3  TM4  TM5  TM6  TM7  TM8  TM9  TM10 TM11 TM12 TM13 TM14 TM15 TM16 TM17 TM18 TM19 TM20 Stack Rs-Check Vab  Pab  Rab  Latitude Longitude Name Channel Overload Tx-Bat Rx-Bat Temp. Date Gapfiller Synch Cole Tau Cole M Cole rms
 Wenner VES 0.00 45.00 15.00 30.00 0.67 20.31 -4.40 -28.61 4.103 576.367 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -4.82 -6.14 -8.95 -13.36 -14.73 -8.40 -1.23 1.69 1.15 -0.64 0.64 1.85 0.58 -1.05 -3.83 -3.78 -7.84 -10.30 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 6 0.00 388 224 0.7 00.000000 00.000000 WE48 1 0 10.61 11.98 38.7 6/21/2016 11:41:40 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 42.00 14.00 28.00 0.63 16.34 4.74 121.51 4.699 652.377 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.72 6.06 1.05 5.50 6.95 5.60 0.13 -8.72 -5.98 -5.19 -5.36 0.85 5.91 13.86 19.63 17.20 14.24 8.92 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 6 0.00 326 213 0.5 00.000000 00.000000 WE48 1 0 10.64 11.98 38.7 6/21/2016 11:41:50 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 39.00 13.00 26.00 0.63 8.05 1.55 72.98 4.359 566.181 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.85 7.58 3.10 -2.91 -11.19 -10.63 -11.89 -11.08 -5.88 -0.22 6.07 8.46 4.81 6.73 7.72 7.79 10.44 8.15 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 393 223 0.7 00.000000 00.000000 WE48 1 0 10.58 11.98 38.7 6/21/2016 11:41:56 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 36.00 12.00 24.00 0.60 1.64 3.26 24.59 4.594 577.588 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -4.39 -2.67 5.45 2.55 1.10 -3.40 -7.43 -1.26 0.37 -3.36 -4.84 -4.67 -0.38 0.98 7.34 20.26 25.21 27.87 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 360 208 0.6 00.000000 00.000000 WE48 1 0 10.70 11.98 38.7 6/21/2016 11:42:02 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 33.00 11.00 22.00 0.62 2.93 0.56 -118.83 5.128 571.275 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -16.86 -12.28 -8.31 -5.43 -0.09 6.33 7.71 12.35 15.60 15.13 12.59 4.16 -1.08 -5.40 -9.19 -6.88 -2.64 4.31 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 382 218 0.7 00.000000 00.000000 WE48 1 0 10.58 11.98 38.7 6/21/2016 11:42:08 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 30.00 10.00 20.00 0.63 1.02 11.29 76.82 5.630 564.543 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 20.61 21.88 19.20 18.00 16.80 15.74 8.26 0.99 0.43 3.74 5.65 5.65 8.96 11.44 13.62 14.12 10.16 7.90 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 392 221 0.7 00.000000 00.000000 WE48 1 0 10.58 11.98 38.7 6/21/2016 11:42:14 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 27.00 9.00 18.00 0.63 2.95 -10.81 -1.26 8.218 734.421 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -25.06 -19.40 -17.66 -16.50 -14.95 -12.83 -12.82 -10.94 -5.96 -3.01 -7.75 -10.12 -9.54 -7.84 -6.82 -4.79 -4.11 -4.54 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 295 217 0.4 00.000000 00.000000 WE48 1 0 10.64 12.01 38.7 6/21/2016 11:42:19 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 24.00 8.00 16.00 0.55 2.58 -2.65 42.60 7.672 703.378 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -9.59 -5.08 -3.43 -2.44 -1.46 -0.78 -4.15 -5.14 -2.60 -3.53 -0.78 0.56 0.25 -0.94 -3.37 -1.41 -0.78 -3.01 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 305 214 0.4 00.000000 00.000000 WE48 1 0 10.61 11.98 38.7 6/21/2016 11:42:25 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 21.00 7.00 14.00 0.58 3.66 -4.10 22.14 9.137 697.523 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -7.71 -7.06 -6.75 -6.93 -5.53 -4.40 -3.75 -3.57 -2.05 -0.79 -1.61 -2.61 -2.57 -3.75 -3.57 -2.75 -4.32 -4.14 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 307 214 0.4 00.000000 00.000000 WE48 1 0 10.64 11.98 38.7 6/21/2016 11:42:31 AM 0 1 0.0 0.00 0.0
 Wenner VES 0.00 18.00 6.00 12.00 0.59 4.41 -4.29 88.90 7.675 490.957 500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -5.62 -6.35 -9.09 -10.32 -9.75 -8.67 -7.84 -6.39 -4.21 -2.60 -1.82 -0.32 1.24 0.10 0.30 -0.47 -1.67 -3.84 0.00 0.00 60 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 0 0 3 0.00 450 221 0.9 00.000000 00.000000 WE48 1 0 10.61 12.01 38.7 6/21/2016 11:42:37 AM 0 1 0.0 0.00 0.0
